Table Name,State Code,Distt. Code,Tehsil Code,Town Code,Area Name,Total/ Rural/ Urban,Total - Persons,Total - Males,Total - Females,Religious communities - Hindu - Persons,Religious communities - Hindu - Males,Religious communities - Hindu - Females,Religious communities - Muslim - Persons,Religious communities - Muslim - Males,Religious communities - Muslim - Females,Religious communities - Christian - Persons,Religious communities - Christian - Males,Religious communities - Christian - Females,Religious communities - Sikh - Persons,Religious communities - Sikh - Males,Religious communities - Sikh - Females,Religious communities - Buddhist - Persons,Religious communities - Buddhist - Males,Religious communities - Buddhist - Females,Religious communities - Jain - Persons,Religious communities - Jain - Males,Religious communities - Jain - Females,Religious communities - Other religions and persuasions (incl.Unclassified Sect.) - Persons,Religious communities - Other religions and persuasions (incl.Unclassified Sect.) - Males,Religious communities - Other religions and persuasions (incl.Unclassified Sect.) - Females,Religious communities - Religion not stated - Persons,Religious communities - Religion not stated - Males,Religious communities - Religion not stated - Females
C0101,33,602,05696,000000,Sub-District - Tiruttani,Total,211291,105568,105723,198905,99266,99639,8659,4414,4245,3200,1635,1565,28,15,13,41,19,22,47,25,22,20,9,11,391,185,206
C0101,33,602,05696,000000,Sub-District - Tiruttani,Rural,166510,83215,83295,157774,78732,79042,5814,2972,2842,2480,1302,1178,21,11,10,21,10,11,18,9,9,18,9,9,364,170,194
C0101,33,602,05696,000000,Sub-District - Tiruttani,Urban,44781,22353,22428,41131,20534,20597,2845,1442,1403,720,333,387,7,4,3,20,9,11,29,16,13,2,0,2,27,15,12
C0101,33,602,05696,803319,Tiruttani (M),Urban,44781,22353,22428,41131,20534,20597,2845,1442,1403,720,333,387,7,4,3,20,9,11,29,16,13,2,0,2,27,15,12
C0101,33,602,05697,000000,Sub-District - Pallipattu,Total,214073,107698,106375,207218,104332,102886,3509,1728,1781,2896,1414,1482,30,15,15,9,5,4,14,10,4,7,6,1,390,188,202
C0101,33,602,05697,000000,Sub-District - Pallipattu,Rural,151910,76251,75659,147039,73856,73183,2030,1002,1028,2544,1242,1302,24,12,12,9,5,4,2,2,0,5,4,1,257,128,129
C0101,33,602,05697,000000,Sub-District - Pallipattu,Urban,62163,31447,30716,60179,30476,29703,1479,726,753,352,172,180,6,3,3,0,0,0,12,8,4,2,2,0,133,60,73
C0101,33,602,05697,628977,Kodivalasa (CT),Urban,9024,4532,4492,8814,4432,4382,130,64,66,65,29,36,0,0,0,0,0,0,1,0,1,2,2,0,12,5,7
C0101,33,602,05697,628978,Vanganur (CT),Urban,6584,3349,3235,6504,3313,3191,46,22,24,30,13,17,2,0,2,0,0,0,0,0,0,0,0,0,2,1,1
C0101,33,602,05697,628979,Ammavarikuppam (CT),Urban,10750,5499,5251,10588,5414,5174,156,81,75,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
